RK,PLAYER,POS,HT,WT,HOMETOWN,STATE
1,D.J. Wagner,PG,6'2'',175,Camden,NJ
2,Justin Edwards,SF,6'7'',190,Philadelphia,PA
3,Xavier Booker,C,6'10'',210,Indianapolis,IN
4,Mackenzie Mgbako,PF,6'8'',195,Newark,NJ
5,Aaron Bradshaw,C,7'0'',215,Camden,NJ
6,Isaiah Collier,PG,6'4'',205,Marietta,GA
7,Sean Stewart,PF,6'8'',230,Windermere,FL
8,Robert Dillingham,SG,6'1'',170,Simi Valley,CA
9,Omaha Biliew,PF,6'9'',210,Waukee,IA
10,Ron Holland,PF,6'8'',200,Duncanville,TX
11,Matas Buzelis,SF,6'9'',195,Hinsdale,IL
12,Kwame Evans,PF,6'9'',200,Baltimore,MD
13,Caleb Foster,PG,6'3'',180,Los Angeles,CA
14,Cody Williams,SF,6'8'',175,Gilbert,AZ
15,Mookie Cook,SF,6'7'',210,Portland,OR
16,Jared McCain,SG,6'3'',195,Corona,CA
17,Ja'Kobe Walter,SG,6'5'',185,McKinney,TX
18,Scotty Middleton,SF,6'6'',195,Miami,FL
19,Simeon Wilcher,PG,6'3'',185,Plainfield,NJ
20,Baye Fall,C,6'11'',217,Denver,CO
21,Aden Holloway,PG,6'1'',165,Charlotte,NC
22,Layden Blocker,PG,6'2'',180,Little Rock,AR
23,Stephon Castle,PG,6'6'',190,Covington,GA
24,Andrej Stojakovic,SF,6'7'',185,Carmichael,CA
25,A.J. Johnson,PG,6'6'',165,Los Angeles,CA
26,Reed Sheppard,SG,6'2'',175,London,KY
27,Freddie Dilione,SG,6'5'',185,Fayetteville,NC
28,Elmarko Jackson,SG,6'3'',185,Waterbury,CT
29,Kanaan Carlyle,SG,6'2'',175,Milton,GA
30,Mikey Williams,SG,6'2'',185,San Diego,CA
31,Milan Momcilovic,PF,6'9'',200,Milwaukee,WI
32,London Johnson,PG,6'3'',175,Norcross,GA
33,Chris Johnson,SG,6'5'',175,Missouri City,TX
34,Jeremy Fears,PG,6'2'',180,Joliet,IL
35,Bronny James,PG,6'3'',180,Los Angeles,CA
36,Gavin Griffiths,SF,6'6'',175,Hartford,CT
37,Brandon Garrison,C,6'9'',205,Del City,OK
38,Wesley Yates,SG,6'4'',210,Beaumont,TX
39,Taison Chatman,PG,6'3'',175,Brooklyn Park,MN
40,T.J. Power,PF,6'8'',210,Worcester,MA
41,Devin Williams,C,6'9'',205,Corona,CA
42,R.J. Jones,SG,6'2'',180,Aubrey,TX
43,Eric Dailey Jr.,PF,6'6'',225,Palmetto,FL
44,J.P. Estrella,C,6'11'',210,Portland,ME
45,Kaden Cooper,SF,6'5'',190,Ada,OK
46,Javonte Taylor,SF,6'7'',185,Chicago,IL
47,Isaiah Miranda,C,7'0'',210,Pawtucket,RI
48,Jackson Shelstad,PG,6'0'',170,West Linn,OR
49,Dusty Stromer,SF,6'6'',180,Los Angeles,CA
50,Solomon Ball,SG,6'2'',185,Hagerstown,MD
51,Devin Royal,PF,6'6'',215,Pickerington,OH
52,Marvel Allen,SG,6'3'',175,Fort Lauderdale,FL
53,Trey Green,PG,5'9'',160,Charlotte,NC
54,DeShawn Harris-Smith,SF,6'5'',190,Fairfax,VA
55,George Washington III,SG,6'2'',175,Louisville,KY
56,Arrinten Page,C,6'9'',215,Marietta,GA
57,Assane Diop,PF,6'8'',200,Westminster,CO
58,Curtis Williams,SF,6'5'',180,Birmingham,MI
59,Kris Parker,SF,6'6'',185,Quincy,FL
60,Edgerrin James,PG,6'1'',190,Orlando,FL
61,Zayden High,PF,6'9'',225,Spring Branch,TX
62,Dennis Evans,C,7'0'',225,Riverside,CA
63,Isaiah West,PG,6'2'',185,Nashville,TN
64,Amani Hansberry,C,6'7'',225,Baltimore,MD
65,Blake Buchanan,C,6'9'',215,Hayden,ID
66,Taylor Bol Bowen,PF,6'8'',195,Laconia,NH
67,Isaiah Coleman,SG,6'4'',180,Raleigh,NC
68,Rayvon Griffith,SF,6'6'',190,Cincinnati,OH
69,Jacolb Cole,SF,6'6'',195,Bellaire,TX
70,Dravyn Gibbs-Lawhorn,PG,6'1'',170,Montverde,FL
71,Coen Carr,SF,6'7'',200,Hampton,GA
72,Lamariyon Jordan,SF,6'6'',185,Dacula,GA
73,Jaylen Curry,PG,6'0'',160,Charlotte,NC
74,Josh Hubbard,PG,5'11'',175,Ridgeland,MS
75,Carey Booth,C,6'10'',190,Englewood,CO
76,Garwey Dual,SG,6'5'',180,Carmel,IN
77,Joseph Tugler,C,6'7'',210,Houston,TX
78,Tremayne Parker,SG,6'3'',180,Fayetteville,NC
79,Kaleb Glenn,PF,6'6'',220,Louisville,KY
80,Trent Pierce,SF,6'7'',185,Tulsa,OK
81,Dai Dai Ames,PG,6'0'',170,Chicago,IL
82,Brady Dunlap,SF,6'7'',175,Santa Clarita,CA
83,Ty-Laur Johnson,PG,6'0'',160,Bronx,NY
84,Jakai Newton,SG,6'3'',195,Covington,GA
85,Brandon Gardner,PF,6'7'',210,Queens,NY
86,Tru Washington,SG,6'3'',175,Phoenix,AZ
87,Dailyn Swain,SF,6'7'',185,Columbus,OH
88,Gabe Cupps,PG,6'1'',165,Centerville,OH
89,Jaland Lowe,PG,6'1'',160,Houston,TX
90,Pryce Sandfort,SF,6'6'',160,Waukee,IA
91,Tre Norman,SG,6'3'',190,Worcester,MA
92,Blue Cain,SG,6'3'',180,Knoxville,TN
93,Jacob McFarland,C,6'11'',220,Moreno Valley,CA
94,Dylan James,PF,6'9'',190,Winter Haven,FL
95,Corey Chest,PF,6'8'',210,New Orleans,LA
96,Rashaud Marshall,C,6'9'',230,Blytheville,AR
97,Jaylin Stewart,SF,6'6'',215,Seattle,WA
98,Gehrig Normand,SF,6'6'',180,North Richland Hills,TX
99,Brandon Williams,PF,6'7'',220,Queens,NY
100,Paul Djobet,SF,6'6'',185,Orlando,FL
