RK,PLAYER,POS,HT,WT,STARS,GRADE,SCHOOL,HOMETOWN,State
1,Malachi Nelson,QB-PP,6'3'',185,,93,USC,Los Alamitos,CA
2,Arch Manning,QB-PP,6'3'',204,,93,TEXAS,New Orleans,LA
3,Dante Moore,QB-PP,6'3'',200,,93,OREGON,Detroit,MI
4,Cormani McClain,CB,6'2'',165,,92,List,Lakeland,FL
5,Francis Mauigoa,OT,6'6'',325,,91,MIAMI,Bradenton,FL
6,Zachariah Branch,WR,5'10'',172,,91,USC,Las Vegas,NV
7,Anthony Hill,OLB,6'2'',230,,90,TEXAS A&M,Denton,TX
8,Jaquavious Russaw,OLB,6'3'',230,,90,List,Montgomery,AL
9,Peter Woods,DT,6'3'',275,,90,CLEMSON,Alabaster,AL
10,Kadyn Proctor,OT,6'6'',315,,90,IOWA,Runnells,IA
11,James Smith,DT,6'3'',300,,90,List,Montgomery,AL
12,Samson Okunlola,OT,6'5'',300,,90,List,Boston,MA
13,Eli Holstein,QB-PP,6'4'',225,,90,ALABAMA,Zachary,LA
14,Richard Young,RB,5'11'',195,,89,ALABAMA,Lehigh Acres,FL
15,Jackson Arnold,QB-DT,6'1'',195,,89,OKLAHOMA,Denton,TX
16,Caleb Downs,S,6'0'',190,,89,ALABAMA,Hoschton,GA
17,David Hicks,DT,6'4'',270,,88,TEXAS A&M,Katy,TX
18,Justice Haynes,RB,5'10'',185,,88,ALABAMA,Buford,GA
19,Makai Lemon,WR,5'11'',180,,87,USC,Los Alamitos,CA
20,Joenel Aguero,S,6'0'',200,,87,GEORGIA,Lynn,MA
21,Tony Mitchell,CB,6'2'',190,,87,ALABAMA,Alabaster,AL
22,Hykeem Williams,WR,6'3'',200,,87,FLORIDA ST,Fort Lauderdale,FL
23,Dylan Lonergan,QB-PP,6'2'',210,,87,ALABAMA,Snellville,GA
24,Keon Keeley,DE,6'5'',220,,87,List,Tampa,FL
25,Jaden Rashada,QB-DT,6'4'',185,,87,MIAMI,Pittsburg,CA
26,Jahlil Hurley,CB,6'2'',170,,87,ALABAMA,Florence,AL
27,Nicholaus Iamaleava,QB-PP,6'6'',195,,87,TENNESSEE,Downey,CA
28,A.J. Harris,CB,6'2'',180,,87,GEORGIA,Phenix City,AL
29,Nyckoles Harbor,ATH,6'5'',225,,87,List,Washington,DC
30,Peyton Bowen,S,6'0'',185,,87,NOTRE DAME,Denton,TX
31,Troy Bowles,OLB,6'1'',210,,86,GEORGIA,Tampa,FL
32,Johntay Cook II,WR,6'0'',175,,86,TEXAS,DeSoto,TX
33,Samuel M'Pemba,ATH,6'4'',240,,86,List,Bradenton,FL
34,Brandon Inniss,WR,6'0'',190,,86,OHIO STATE,Plantation,FL
35,Rueben Owens II,RB,5'11'',180,,86,LOUISVILLE,El Campo,TX
36,Shelton Sampson Jr.,WR,6'4'',185,,86,LSU,Baton Rouge,LA
37,Derrick LeBlanc,DE,6'5'',270,,86,OKLAHOMA,Seminole,FL
38,Jaiden Ausberry,OLB,6'1'',210,,86,NOTRE DAME,Baton Rouge,LA
39,Jaquaize Pettaway,WR,5'11'',180,,86,OKLAHOMA,Houston,TX
40,Christopher Vizzina,QB-PP,6'3'',205,,86,CLEMSON,Birmingham,AL
41,Javien Toviano,CB,6'1'',185,,86,List,Arlington,TX
42,Jalen Hale,WR,6'2'',185,,86,ALABAMA,Longview,TX
43,Jacobe Johnson,ATH,6'3'',185,,86,OKLAHOMA,Mustang,OK
44,Malik Muhammad,CB,5'11'',170,,86,TEXAS,Dallas,TX
45,Jordan Renaud,DT,6'4'',245,,86,ALABAMA,Tyler,TX
46,Elliot Washington,S,6'0'',190,,86,PENN STATE,Venice,FL
47,Da'Shawn Womack,DE,6'4'',255,,86,LSU,Baltimore,MD
48,DeAndre Moore Jr.,WR,5'11'',190,,86,LOUISVILLE,Bellflower,CA
49,Jason Moore,DE,6'6'',260,,86,OHIO STATE,Hyattsville,MD
50,Cayden Green,OG,6'5'',310,,86,OKLAHOMA,Lee's Summit,MO
51,Duce Robinson,TE-H,6'6'',235,,86,List,Phoenix,AZ
52,Derek Williams,S,6'2'',185,,86,TEXAS,New Iberia,LA
53,J'ven Williams,OG,6'4'',285,,86,PENN STATE,Wyomissing,PA
54,Braylon James,WR,6'2'',175,,86,NOTRE DAME,Austin,TX
55,Chandavian Bradley,DE,6'5'',210,,86,TENNESSEE,Platte City,MO
56,Jurrion Dickey,WR,6'3'',215,,86,OREGON,Atherton,CA
57,Damon Wilson,DE,6'4'',235,,86,List,Venice,FL
58,Cedric Baxter Jr.,RB,6'2'',220,,86,TEXAS,Orlando,FL
59,Chase Bisontis,OT,6'5'',290,,86,TEXAS A&M,Ramsey,NJ
60,Jalen Brown,WR,6'1'',170,,86,LSU,Miami,FL
61,Bravion Rogers,ATH,5'11'',185,,86,TEXAS A&M,La Grange,TX
62,Matayo Uiagalelei,DE,6'5'',265,,86,List,Bellflower,CA
63,Kelby Collins,DT,6'5'',280,,86,FLORIDA,Gardendale,AL
64,Raylen Wilson,OLB,6'2'',215,,86,GEORGIA,Tallahassee,FL
65,Noah Rogers,WR,6'2'',185,,86,OHIO STATE,Rolesville,NC
66,Malik Bryant,OLB,6'2'',235,,86,MIAMI,Orlando,FL
67,Adam Hopkins,WR,5'11'',175,,86,AUBURN,Thomasville,GA
68,Riley Williams,TE-H,6'5'',230,,86,MIAMI,Bradenton,FL
69,Vic Burley,DT,6'5'',270,,86,CLEMSON,Warner Robins,GA
70,Luke Hasz,TE-H,6'3'',215,,85,ARKANSAS,Bixby,OK
71,Karmello English,WR,5'11'',175,,85,List,Phenix City,AL
72,Suntarine Perkins,ATH,6'3'',200,,85,OLE MISS,Raleigh,MS
73,Luke Montgomery,OT,6'5'',260,,85,OHIO STATE,Findlay,OH
74,Adepoju Adebawore,DE,6'4'',210,,85,OKLAHOMA,North Kansas City,MO
75,Tackett Curtis,ILB,6'2'',205,,85,USC,Many,LA
76,Alex Birchmeier,OG,6'5'',280,,85,PENN STATE,Ashburn,VA
77,Charles Jagusah,OT,6'6'',305,,85,NOTRE DAME,Rock Island,IL
78,Dalton Brooks,S,6'1'',175,,85,TEXAS A&M,Shiner,TX
79,Zalance Heard,OT,6'5'',300,,85,LSU,Monroe,LA
